make,brand_id
ACURA,1
ALFA ROMEO,2
AUDI,3
AZURE DYNAMICS,4
BENTLEY,5
BMW,6
BRIGHTDROP,7
CADILLAC,8
CHEVROLET,9
CHRYSLER,10
DODGE,11
FIAT,12
FISKER,13
FORD,14
GENESIS,15
GMC,16
HONDA,17
HYUNDAI,18
JAGUAR,19
JEEP,20
KIA,21
LAMBORGHINI,22
LAND ROVER,23
LEXUS,24
LINCOLN,25
LUCID,26
MAZDA,27
MERCEDES-BENZ,28
MINI,29
MITSUBISHI,30
MULLEN AUTOMOTIVE INC.,31
NISSAN,32
POLESTAR,33
PORSCHE,34
RAM,35
RIVIAN,36
ROLLS-ROYCE,37
SMART,38
SUBARU,39
TESLA,40
TH!NK,41
TOYOTA,42
VINFAST,43
VOLKSWAGEN,44
VOLVO,45
WHEEGO ELECTRIC CARS,46
