_2020_census_tract,census_id
53001950100,300647710726
53001950200,549755813897
53001950301,627065225225
53001950302,979252543497
53001950303,747324309511
53001950400,867583393797
53001950500,987842478084
53003960100,1271310319619
53003960200,1675037245447
53003960300,446676598791
53003960400,412316860425
53003960500,738734374914
53003960600,257698037766
53005010100,858993459206
53005010201,1073741824007
53005010203,240518168584
53005010204,498216206343
53005010300,1030792151048
53005010400,1683627180037
53005010500,481036337158
53005010600,601295421443
53005010701,1554778161158
53005010703,979252543495
53005010705,944892805123
53005010707,163208757252
53005010708,1563368095746
53005010807,1451698946058
53005010809,1486058684420
53005010810,575525617667
53005010811,1108101562370
53005010814,77309411330
53005010815,901943132165
53005010816,944892805125
53005010817,171798691848
53005010818,962072674311
53005010819,120259084293
53005010820,601295421446
53005010901,1297080123399
53005010902,274877906947
53005011001,558345748485
53005011002,403726925829
53005011100,77309411337
53005011201,386547056649
53005011202,1649267441672
53005011300,816043786249
53005011401,515396075528
53005011402,429496729604
53005011501,1434519076871
53005011504,584115552263
53005011505,85899345924
53005011506,111669149702
53005011600,283467841545
53005011701,369367187467
53005011702,1039382085635
53005011801,481036337153
53005011802,17179869193
53005011900,1606317768710
53005012000,755914244106
53007960100,1640677507077
53007960201,77309411331
53007960202,266287972360
53007960203,188978561025
53007960301,1623497637893
53007960302,1271310319620
53007960303,695784701962
53007960400,455266533379
53007960501,1425929142277
53007960502,94489280517
53007960600,678604832778
53007960700,111669149701
53007960801,1279900254213
53007960803,858993459205
53007960804,816043786246
53007961001,1254130450440
53007961002,807453851654
53007961101,309237645317
53007961102,146028888066
53007961200,42949672964
53007961301,566935683073
53007961303,1254130450442
53007961304,910533066756
53009000300,987842478089
53009000600,1176821039108
53009000700,884763262982
53009000800,1520418422786
53009000900,188978561029
53009001000,120259084297
53009001100,1443109011464
53009001200,773094113282
53009001300,661424963589
53009001400,1606317768705
53009001500,1700807049222
53009001600,1554778161156
53009001701,1288490188805
53009001702,412316860419
53009001800,1451698946049
53009001901,1486058684418
53009001902,1116691496966
53009002001,1185410973701
53009002002,283467841540
53009002100,1554778161152
53009002301,412316860422
53009002302,1692217114628
53009002400,463856467975
53009940000,1039382085643
53011040101,283467841539
53011040102,1434519076872
53011040201,1013612281858
53011040202,266287972359
53011040203,1047972020224
53011040301,962072674305
53011040303,489626271744
53011040304,919123001344
53011040305,584115552262
53011040403,1168231104513
53011040407,180388626434
53011040408,1597727834113
53011040409,1039382085637
53011040411,1425929142272
53011040412,240518168579
53011040413,223338299403
53011040414,1657857376257
53011040415,1486058684421
53011040416,601295421448
53011040504,1168231104522
53011040505,1425929142280
53011040507,661424963588
53011040509,1340029796356
53011040510,824633720833
53011040511,1675037245441
53011040512,1047972020229
53011040513,34359738368
53011040603,154618822657
53011040604,481036337152
53011040605,231928233984
53011040608,94489280514
53011040609,438086664192
53011040610,283467841538
53011040703,8589934594
53011040706,188978561027
53011040707,498216206341
53011040709,1176821039107
53011040711,1305670057988
53011040712,1125281431553
53011040713,532575944711
53011040714,1400159338499
53011040715,1468878815234
53011040803,901943132162
53011040806,1348619730950
53011040808,584115552258
53011040809,1391569403904
53011040810,523986010116
53011040811,1408749273091
53011040812,1417339207681
53011040904,1185410973700
53011040905,1597727834112
53011040907,1365799600131
53011040908,446676598786
53011040909,111669149697
53011040910,506806140935
53011041003,532575944706
53011041005,678604832771
53011041007,266287972362
53011041008,240518168582
53011041009,1322849927170
53011041010,944892805122
53011041011,137438953474
53011041104,858993459200
53011041105,755914244097
53011041107,1159641169923
53011041110,541165879296
53011041111,910533066752
53011041112,1546188226561
53011041113,1563368095747
53011041114,927712935939
53011041203,515396075522
53011041205,420906795010
53011041206,1417339207680
53011041207,154618822660
53011041208,335007449094
53011041309,1090921693193
53011041310,575525617664
53011041312,137438953481
53011041313,1571958030343
53011041317,1511828488194
53011041319,1219770712070
53011041320,1116691496962
53011041321,463856467976
53011041322,1649267441668
53011041323,712964571140
53011041325,1288490188801
53011041326,137438953478
53011041328,1477468749827
53011041329,712964571136
53011041330,1623497637888
53011041331,9
53011041332,137438953483
53011041333,1597727834114
53011041334,171798691844
53011041335,1443109011458
53011041336,1297080123402
53011041337,798863917059
