legislative_district,district_id
1,1236950581248
10,1331439861760
11,94489280512
12,1460288880640
13,1503238553600
14,1520418422784
15,60129542144
16,283467841537
17,532575944704
18,455266533376
19,730144440320
2,1623497637888
20,1254130450432
21,1520418422785
22,249108103168
23,747324309505
24,1194000908288
25,867583393792
26,541165879296
27,498216206336
28,249108103169
29,120259084288
3,154618822656
30,163208757248
31,429496729600
32,1211180777472
33,1056561954816
34,171798691840
35,283467841536
36,1322849927168
37,1340029796352
38,850403524609
39,1434519076864
4,1425929142272
40,850403524608
41,747324309504
42,128849018880
43,412316860416
44,893353197568
45,1683627180032
46,575525617664
47,326417514496
48,1108101562368
49,1357209665536
5,420906795008
6,644245094400
7,25769803776
8,223338299392
9,1194000908289
