county,income
Adams,65042
Asotin,69107
Benton,87316
Chelan,78306
Clallam,67999
Clark,94948
Columbia,71528
Cowlitz,72932
Douglas,80374
Ferry,54650
Franklin,82755
Garfield,62411
Grant,71115
Grays Harbor,63539
Island,88358
Jefferson,71143
King,122148
Kitsap,98546
Kittitas,69928
Klickitat,70400
Lewis,69690
Lincoln,71227
Mason,78359
Okanogan,60293
Pacific,62350
Pend Oreille,63750
Pierce,96632
San Juan,83682
Skagit,85474
Skamania,90085
Snohomish,107982
Spokane,73513
Stevens,67405
Thurston,93985
United States,78538
Wahkiakum,57091
Walla Walla,72212
Washington,94952
Whatcom,80989
Whitman,52893
Yakima,68015
