make,model,model_id
ACURA,ZDX,1
ALFA ROMEO,TONALE,2
AUDI,A3,3
AUDI,A6,4
AUDI,A7 E,5
AUDI,A8 E,6
AUDI,E-TRON,7
AUDI,E-TRON GT,8
AUDI,E-TRON SPORTBACK,9
AUDI,Q4,10
AUDI,Q5,11
AUDI,Q5 E,12
AUDI,Q6,13
AUDI,Q8,14
AUDI,RS E-TRON GT,15
AUDI,S E-TRON GT,16
AUDI,S6,17
AUDI,SQ6,18
AUDI,SQ8,19
AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,20
BENTLEY,BENTAYGA,21
BENTLEY,CONTINENTAL,22
BENTLEY,FLYING SPUR,23
BMW,330E,24
BMW,530E,25
BMW,550E,26
BMW,740E,27
BMW,745E,28
BMW,745LE,29
BMW,750E,30
BMW,I3,31
BMW,I4,32
BMW,I5,33
BMW,I7,34
BMW,I8,35
BMW,IX,36
BMW,M5,37
BMW,X3,38
BMW,X5,39
BMW,XM,40
BRIGHTDROP,ZEVO,41
CADILLAC,CT6,42
CADILLAC,ELR,43
CADILLAC,LYRIQ,44
CADILLAC,OPTIQ,45
CADILLAC,VISTIQ,46
CHEVROLET,BLAZER,47
CHEVROLET,BOLT EUV,48
CHEVROLET,BOLT EV,49
CHEVROLET,BRIGHTDROP,50
CHEVROLET,EQUINOX,51
CHEVROLET,SILVERADO,52
CHEVROLET,SPARK,53
CHEVROLET,VOLT,54
CHRYSLER,PACIFICA,55
DODGE,CHARGER,56
DODGE,HORNET,57
FIAT,500,58
FIAT,500E,59
FISKER,KARMA,60
FISKER,OCEAN,61
FORD,C-MAX,62
FORD,ESCAPE,63
FORD,F-150,64
FORD,FOCUS,65
FORD,FUSION,66
FORD,MUSTANG MACH-E,67
FORD,RANGER,68
FORD,TRANSIT,69
GENESIS,G80,70
GENESIS,GV60,71
GENESIS,GV70,72
GMC,HUMMER EV PICKUP,73
GMC,HUMMER EV SUV,74
GMC,SIERRA,75
HONDA,ACCORD,76
HONDA,CLARITY,77
HONDA,PROLOGUE,78
HYUNDAI,IONIQ,79
HYUNDAI,IONIQ 5,80
HYUNDAI,IONIQ 5 N,81
HYUNDAI,IONIQ 6,82
HYUNDAI,IONIQ 9,83
HYUNDAI,KONA,84
HYUNDAI,SANTA FE,85
HYUNDAI,SONATA,86
HYUNDAI,TUCSON,87
JAGUAR,I-PACE,88
JEEP,GRAND CHEROKEE,89
JEEP,WAGONEER S,90
JEEP,WRANGLER,91
KIA,EV6,92
KIA,EV9,93
KIA,NIRO,94
KIA,OPTIMA,95
KIA,SORENTO,96
KIA,SOUL,97
KIA,SPORTAGE,98
LAMBORGHINI,REVUELTO,99
LAMBORGHINI,URUS,100
LAND ROVER,RANGE ROVER,101
LAND ROVER,RANGE ROVER SPORT,102
LEXUS,NX,103
LEXUS,RX,104
LEXUS,RZ,105
LEXUS,TX,106
LINCOLN,AVIATOR,107
LINCOLN,CORSAIR,108
LUCID,AIR,109
LUCID,GRAVITY,110
MAZDA,CX-70,111
MAZDA,CX-90,112
MAZDA,MX-30,113
MERCEDES-BENZ,AMG GT,114
MERCEDES-BENZ,B-CLASS,115
MERCEDES-BENZ,C-CLASS,116
MERCEDES-BENZ,E-CLASS,117
MERCEDES-BENZ,EQB-CLASS,118
MERCEDES-BENZ,EQE-CLASS SEDAN,119
MERCEDES-BENZ,EQE-CLASS SUV,120
MERCEDES-BENZ,EQS-CLASS SEDAN,121
MERCEDES-BENZ,EQS-CLASS SUV,122
MERCEDES-BENZ,ESPRINTER,123
MERCEDES-BENZ,G-CLASS,124
MERCEDES-BENZ,GLC-CLASS,125
MERCEDES-BENZ,GLE-CLASS,126
MERCEDES-BENZ,S-CLASS,127
MERCEDES-BENZ,SL-CLASS,128
MINI,COUNTRYMAN,129
MINI,HARDTOP,130
MITSUBISHI,I-MIEV,131
MITSUBISHI,OUTLANDER,132
MULLEN AUTOMOTIVE INC.,ONE,133
NISSAN,ARIYA,134
NISSAN,LEAF,135
POLESTAR,POLESTAR 3,136
POLESTAR,PS2,137
PORSCHE,918,138
PORSCHE,CAYENNE,139
PORSCHE,MACAN,140
PORSCHE,PANAMERA,141
PORSCHE,TAYCAN,142
RAM,PROMASTER 3500,143
RIVIAN,EDV,144
RIVIAN,R1S,145
RIVIAN,R1T,146
RIVIAN,RCV,147
ROLLS-ROYCE,SPECTRE,148
SMART,EQ FORTWO,149
SMART,FORTWO,150
SMART,FORTWO ELECTRIC DRIVE,151
SUBARU,CROSSTREK,152
SUBARU,SOLTERRA,153
TESLA,CYBERTRUCK,154
TESLA,MODEL 3,155
TESLA,MODEL S,156
TESLA,MODEL X,157
TESLA,MODEL Y,158
TESLA,ROADSTER,159
TH!NK,CITY,160
TOYOTA,BZ4X,161
TOYOTA,MIRAI,162
TOYOTA,PRIUS,163
TOYOTA,PRIUS PRIME (PHEV),164
TOYOTA,RAV4,165
TOYOTA,RAV4 PRIME (PHEV),166
VINFAST,VF 8,167
VOLKSWAGEN,E-GOLF,168
VOLKSWAGEN,ID. BUZZ,169
VOLKSWAGEN,ID.4,170
VOLVO,C40,171
VOLVO,EX30,172
VOLVO,EX40,173
VOLVO,EX90,174
VOLVO,S60,175
VOLVO,S90,176
VOLVO,V60,177
VOLVO,XC40,178
VOLVO,XC60,179
VOLVO,XC90,180
WHEEGO ELECTRIC CARS,WHEEGO,181
