county,popden_2025
Adams,11.19
Asotin,35.77
Benton,129.18
Chelan,28.38
Clallam,45.23
Clark,863.02
Columbia,4.55
Cowlitz,100.34
Douglas,24.98
Ferry,3.34
Franklin,83.16
Garfield,3.24
Grant,39.65
Grays Harbor,40.89
Island,425.47
Jefferson,18.75
King,1140.16
Kitsap,731.2
Kittitas,21.31
Klickitat,12.61
Lewis,35.6
Lincoln,4.87
Mason,70.66
Okanogan,8.24
Pacific,25.65
Pend Oreille,9.96
Pierce,575.49
San Juan,106.66
Skagit,77.79
Skamania,7.33
Snohomish,418.78
Spokane,320.82
Stevens,19.3
Thurston,427.82
Wahkiakum,17.31
Walla Walla,50.23
Whatcom,114.09
Whitman,22.9
Yakima,61.63
