county,population,min_wage,ev_count,ev_penetration_rate
ADAMS,55010,65042,103,1.8723868387565898
ASOTIN,53965,69107,97,1.7974613175206153
BENTON,620895,87316,3705,5.967192520474477
CHELAN,214155,78306,1711,7.989540286241273
CLALLAM,189575,67999,1687,8.898852696821839
CLARK,1381450,94948,16956,12.274059864634985
COLUMBIA,10460,71528,23,2.198852772466539
COWLITZ,292295,72932,1447,4.950478112865428
DOUGLAS,110785,80374,627,5.659610958162205
FERRY,15700,54650,40,2.5477707006369426
FRANKLIN,295215,82755,1119,3.790457801940958
GARFIELD,5995,62411,3,0.5004170141784821
GRANT,271515,71115,1017,3.745649411634716
GRAYS HARBOR,203780,63539,1062,5.211502600844048
ISLAND,205450,88358,3124,15.205646142613775
JEFFERSON,78230,71143,1462,18.688482679279048
KING,6984875,122148,143037,20.478104475742228
KITSAP,681590,98546,9568,14.037764638565706
KITTITAS,124445,69928,1029,8.268713086102293
KLICKITAT,54045,70400,481,8.899990748450366
LEWIS,205885,69690,1220,5.9256380989387285
LINCOLN,28095,71227,82,2.9186688022779856
MASON,146010,78359,1400,9.588384357235805
OKANOGAN,103410,60293,404,3.90677884150469
PACIFIC,55620,62350,316,5.681409564904711
PEND OREILLE,31100,63750,100,3.215434083601286
PIERCE,2428950,96632,23441,9.65067210111365
SAN JUAN,39845,83682,1314,32.977788932111935
SKAGIT,350420,85474,3196,9.120483990639803
SKAMANIA,26885,90085,265,9.856797470708573
SNOHOMISH,2242145,107982,35508,15.836620735947049
SPOKANE,1530085,73513,8156,5.330422819647274
STEVENS,105680,67405,337,3.1888720666161996
THURSTON,780655,93985,10510,13.46305346151629
WAHKIAKUM,9680,57091,91,9.400826446280993
WALLA WALLA,174075,72212,720,4.136148211977596
WHATCOM,626690,80989,7019,11.200114889339225
WHITMAN,142385,52893,553,3.883836078238579
YAKIMA,703995,68015,1823,2.589507027748777
